Name,Description,Defense,Die Number,Die Type,Price,Tags
Flute,,0,0,0,0,Musical Instrument
Gong,,0,0,0,0,Musical Instrument
Horn,,0,0,0,0,Musical Instrument
Pipes,,0,0,0,0,Musical Instrument
Frog Picture,,0,0,0,0,
Fife,,0,0,0,0,Musical Instrument
Lute,,0,0,0,0,Musical Instrument
Harp,,0,0,0,0,Musical Instrument
Chime,,0,0,0,0,Musical Instrument
Lyre,,0,0,0,0,Musical Instrument
Mandolin,,0,0,0,0,Musical Instrument
Drum,,0,0,0,0,Musical Instrument
Chronos a’ ma gig,This item can bend space time and distort reality by 5 minutes a day. Use it wisely. This item is represented in the shape of a small insect.,0,0,0,0,AI Item
Deck of Haunted Things,This playing deck has multiple uses. The player that has this ai item gains a standard playing deck. They can draw each card only once then it is removed from the game. Each card has a different action.,0,0,0,0,"AI Item, Cards"
Vampire Needle,"Attack with 2d4 + blood pool strength.
This weapon siphons off part of the targets health as well as the users health. Each attack deals normal damage plus it's siphoned blood pool. At the end of each attack the blood pool is increased. Roll a d4 and that damage is dealt to the target and the player. Healing the player reduces this blood pool by that amount.
Attitude: violent and silly",0,2,4,0,"AI Item, Dagger, Melee, Weapon"
Depressed Dagger,1d4 melee agility attack per level. The wielder gains the depressed condition. This condition cannot be cured or removed unless unequiping the item. Gain 1 extra action per turn.,0,1,4,0,"AI Item, Dagger, Melee, Weapon"
Singing Saber of Solitude,1d8 melee strength per level spent on this item. If the player using this item sings while attacking on their turn they gain a 4d6 bonus.,0,1,8,0,"AI Item, Melee, Sword, Weapon"
Meat Stone,"Throw at an enemy and deal 1d6 damage.
Can be crafted with the following:
4 meat
1 parts
Can be sold for 1 credit",0,1,6,0,"Consumable, Ranged, Thrown"
Posessive Paul's Pants,This ai item can posess the wearer to gain a 1d6 bonus to disguise checks per level spent on this item.,0,0,0,0,"AI Item, Support"
Cloak of Eyes,A cloak covered in eyes. Gain a 3d6 bonus when trying to observe something.,0,0,0,0,"AI Item, Support"
Tortie Bot,"A small cat ai bot that is sentient, can talk and carry up to 5 lbs. Each ticket spent on it levels the bot one level. It can increase it's stats, gain or level abilities with these tickets.",0,0,0,0,"AI Item, Pet"
Fantastic Dancing Shoes,Gain a 1d4 bonus when dancing per level.,0,0,0,0,"AI Item, Support"
Banjo of Chaos,When played the player gains a 1d6 bonus per level placed in this item. At the end of playing the player takes 3d6 damage.,0,0,0,0,"AI Item, Musical Instrument"
Good vs Evil Necklace,The wearer of this ai item gains two spirits that only they can see. One good and one evil. However they both look and sound the same. So it's ont always easy to tell which is which. As an action you can ask your spirits the direction of the item. You have a 50% chance that the storyteller tells or flips in secret to determine if it was the good or evil one.,0,0,0,0,"AI Item, Necklace"
Jungle Summoning Dice,"Gain 2d6 special dice used for summoning with this ai item. As an action roll all three dice and follow the chart to see what you summon. This summon lasts for 1 hour.
2: 2 Monkies
3: Tiger
4: Sloth
5: 3 Piranhas
6: Flock of Macaw
7: 8 Monkies
8: 2 Flying Monkies
9: 4 Zebras
10: 2 Rinos
11: 4 Snakes
12: 3 Lions",0,0,0,0,"AI Item, Dice"
Sally's Super Shield,A shield named Sally. Provides 5 defense per 2 class ticekts spent on it. It starts with 5 defense.,5,0,0,0,"AI Item, Defense, Shield"
Almost Healing Potion,Heals for 1 hit point,0,0,0,1,"Consumable, Healing"
Bandore,,0,0,0,10,Musical Instrument
Paper Armor,You can resist 1 point of physical damage taken,1,0,0,10,"Armor, Defense"
Stomping Boots,Provides 1 defense and can perform a 1d6 attack in addition to other attacks,2,0,0,15,"Armor, Defense"
Dagger,1d4 melee agility attack.,0,1,4,20,"Agility, Dagger, Melee, Weapon"
Snake Oil,Cures noxious,0,0,0,20,"Consumable, Support"
Cloth Armor,Provides 3 defense,3,0,0,20,"Armor, Defense"
Fang Enhancers,Pet attacks deal an extra 1d6 damage in addition to it’s normal attack.,0,1,6,30,"Melee, Pet, Weapon"
Light Cross bow,1d6 ranged agility attack.,0,1,6,30,"Agility, Crossbow, Ranged, Weapon"
Iron Chakram,1d6 ranged strength attack.,0,1,6,30,"Dagger, Ranged, Weapon"
Short Sword,1d6 melee strength attack.,0,1,6,30,"Melee, Strength, Sword, Weapon"
Meager Healing Potion,A potion that heals for 1d6 hit points.,0,1,6,30,"Consumable, Healing"
Pistol,Ranged weapon deals 1d6 damage,0,1,6,30,"Gun, Ranged, Weapon"
Leather Armor,Provides 4 defense,4,0,0,30,"Armor, Defense"
Stomping Boots,Provides 1 defense and can perform a 1d6 melee strength attack.,1,1,6,40,"Defense, Melee, Weapon"
Salamander Potion,Heals for 2d6 then deals 1d6 damage,,,,50,"Consumable, Potion"
Dixie Biscuit,Can be prepared by a chef. Upon eating you get the antsy to do some dancing. Gain a +5 bonus to dance related checks.,0,0,0,50,"Consumable, Support"
Shield,Grants 5 defense.,5,0,0,50,"Defense, Shield"
Ice Bomb,"Ranged agility attack, if hit the enemy�s action is delayed one turn.",0,0,0,50,"Bomb, Ranged"
Flower Bomb,Upon hit target area sprouts 2d20 flowers.,0,0,0,50,"Bomb, Ranged"
Lock Picks,Ever lock yourself out of your house? Now you can get back in with ease. Gain a 1d6 when attempting to pick a lock. Usable once,0,0,0,50,"Consumable, Support"
Swift Robes,Provides 3 defense and 3 agility,5,0,0,50,"Armor, Defense"
Kite Shield,Grants 7 defense.,7,0,0,75,"Defense, Shield"
Bookmark Wraps,2d4 melee mind attack. Bookmarks that wrap around your fists.,0,2,4,80,"Melee, Mind, Weapon"
Longer Dagger,2d4 melee agility attack.,0,2,4,80,"Agility, Dagger, Melee, Weapon"
Shell Armor,Provides 6 Defense,6,0,0,80,"Armor, Defense"
